SpeciesID	sample_1	sample_2	sample_3	sample_4	sample_5	sample_6	sample_7	sample_8	sample_9	sample_10	sample_11	sample_12	sample_13	sample_14	sample_15	sample_16	sample_17	sample_18	sample_19	sample_20
GCA_000508745.2	0.0406210880664414	0	0	0	0.044311576534923	0.031081097328834	0.0502779637937212	0	0.138658086555954	0.0459212896224191	0	0	0.176242265778413	0.012846982204875	0.007743239712667	0.0398023947092893	0.00535781478017937	0.0792609281442691	0.120218921007065	0
GCA_001411705.1	0.00876313657754764	0.178952203872365	0.0198657558945605	0.00814457801824195	0.0337456317145181	0.181218021542279	0	0.05425693221314	0.1587590044091	0.00475417979544157	0.0566292614967721	0.140058682757111	0.0582178017504324	0	0.249466232852578	0.0296031184404858	0.0776223875084048	0.0595428480110881	0	0.0698534968776507
GCA_001658835.1	0	0.0149851223740512	0.0569177733988772	0.0292167683194593	0.0181214005817607	0.0421499032490123	0	0	0.0121693568329433	0.00999577933301542	0	0	0.0515565338377935	0.0391512937860478	0.00952250489619257	0	0.0369814860159325	0	0.0650003396149324	0.0351677455944623
GCA_002902425.1	0.0752731942246248	0.0973268470738378	0	0	0.00859786073824816	0.219662125793713	0	0.0267295582683868	0.00582962385115687	0.0154351940496441	0.0248592680588371	0.157487205494863	0	0.00708210193933353	0.0790588129097676	0.0407131636641686	0.0161566362455452	0.0356681347183912	0	0
GCA_900457985.1	0.087455038944057	0	0.0543812103865012	0.0404511115580347	0.0125989988595153	0	0.0528341654670405	0.070207314764564	0.122620911426733	0.0208072407137212	0.0563151116415384	0.0244695552153861	0.0776837219645655	0.0295570133188098	0.0899984617715523	0.0225900223146205	0.0858592581900091	0	0.0883063543906547	0.00716913157924487
GCF_000260295.1	0.0262771079981251	0.0262422285737667	0	0.00828783111866148	0.00169781610469736	0	0	0	0.00890902066805967	0	0.0330920707569489	0	0.0335700157370457	0.068005679388674	0.0508916563338515	0.00361575787834303	0.050186618039477	0.0150655822019374	0.0973109030839609	0.041620274076974
GCF_000276505.1	0.203414056725783	0.00551195512945907	0.0125439493551864	0.0101554791656067	0.0154908702235497	0	0	0.0167057872225038	0.0257644503577047	0	0	0.0184623480631181	0.0178062616541948	0	0.0419978463632056	0	0.0108917359450191	0.0611103629950735	0	0.030206191033396
GCF_000417945.2	0.0471650339723424	0.0318928178757742	0.0441082893034912	0.0413789883204381	0.0298459237071634	0	0.0314813531482176	0.0979529754114733	0.016272866151799	0.0674723014951339	0	0.0276484942869974	0	0.164594222308857	0.0467844981030002	0	0.0496009749398908	0.0380716446491169	0.0594287661089135	0.0273850691374754
GCF_000683335.1	0.0206574672650394	0.0479134535415784	0.0910445262156323	0.0240169225249476	0	0	0	0	0.00755877201305719	0.0136207509446387	0	0.0553810531813572	0	0	0.0809033348927459	0.129124602491096	0.0407585300600654	0	0.0692719549850083	0.050955471771303
GCF_001075025.1	0.0109525521580121	0.0461059245763886	0	0.0422829633043915	0.0229138808535801	0	0	0	0	0.00453004904096101	0	0.0648046225344185	0.0182663256236624	0	0.0327328396153061	0	0.0176699642413503	0.0157599809882758	0	0
