SpeciesID	sample_1	sample_2	sample_3	sample_4	sample_5	sample_6	sample_7	sample_8	sample_9	sample_10	sample_11	sample_12	sample_13	sample_14	sample_15	sample_16	sample_17	sample_18	sample_19	sample_20
GCA_000508745.2	0.0238888034937322	0	0	0	0.0266941707623052	0.0193347093607039	0.0287749342595625	0	0.0880012201959438	0.0271826277241856	0	0	0.111870049639382	0.00754290860622276	0.00477966939418229	0.0230188703766521	0.00322425967526576	0.048017335969209	0.075169507128985	0
GCA_001411705.1	0.00670722705454348	0.142864055767381	0.0149381854535509	0.00619449893764067	0.0264580222367214	0.146717957218916	0	0.0412059628333253	0.131136153299937	0.00366263419291602	0.0425684463301029	0.10831951026005	0.0480950242754677	0	0.200413745532148	0.0222819322834039	0.0607952844127964	0.046947134949209	0	0.0535109997175727
GCA_001658835.1	0	0.012234992175428	0.043772175579815	0.0227262222682691	0.0145307842177742	0.0349008454189832	0	0	0.0102803802187117	0.0078757528986033	0	0	0.0435597657395983	0.0305972152380459	0.0078239203142699	0	0.0296227064133718	0	0.0540981685875791	0.0275522404630937
GCA_002902425.1	0.0761188604316259	0.102656648755378	0	0	0.00890632882116831	0.234966297375355	0	0.0268203918075895	0.00636199188559182	0.0157108087297387	0.0246890138336032	0.160920150920476	0	0.00715004842226041	0.0839140203701673	0.0404872931747998	0.0167186940109173	0.0371559519358155	0	0
GCA_900457985.1	0.0951579201283051	0	0.0581324059054973	0.0437365709811212	0.0140427617226003	0	0.0559459649451539	0.0757990688363579	0.143987664934028	0.0227881521510188	0.0601794932625871	0.0269029188147635	0.0912328088892337	0.0321081680997063	0.102784469328275	0.0241717850044119	0.0955975374910232	0	0.102159342813714	0.00780725096029004
GCF_000260295.1	0.0242893539595048	0.0253012284247379	0	0.00761260783424313	0.00160762752419344	0	0	0	0.00888728299565763	0	0.0300417906590184	0	0.0334927540277206	0.0627593531236058	0.0493761576777502	0.00328677290523118	0.0474707177445484	0.0143456548976295	0.0956369972096975	0.0385047952549988
GCF_000276505.1	0.195624681322147	0.00552905430736031	0.0118518542585992	0.00970503872832095	0.0152607152367147	0	0	0.0159415680019423	0.0267401730554623	0	0	0.0179408428822691	0.0184831655982141	0	0.0423937675837605	0	0.0107186295187369	0.0605415605995573	0	0.029074358145198
GCF_000417945.2	0.0472122694748864	0.0332989174206393	0.0433774746092192	0.041159374012864	0.0306038550849796	0	0.0306677511239883	0.0972912453502901	0.0175792127969392	0.0679821296546494	0	0.0279652968025228	0	0.164491775804303	0.0491551480237432	0	0.0508071002143687	0.0392583846518689	0.0632495543767044	0.0274359531326984
GCF_000683335.1	0.021604362186053	0.0522666117641773	0.093546499423609	0.024959501099422	0	0	0	0	0.00853132070235543	0.0143383752977749	0	0.0585246478148041	0	0	0.0888102531168939	0.132802219390331	0.0436196683306089	0	0.0770278634122356	0.0533367670581643
GCF_001075025.1	0.0106663141161371	0.0468336785259847	0	0.0409183980113044	0.0228588341337326	0	0	0	0	0.00444054686835499	0	0.0637702686828452	0.0192004387065607	0	0.0334591596754139	0	0.0176089791693449	0.0158106887939361	0	0
GCF_001651265.1	0.0429683230428696	0.00467879301335432	0.041661565466099	0.079758975041312	0.00636145765142996	0	0.1153050043312	0	0.0334554397472991	0.040983156662162	0.105881218090548	0.0287478411192119	0	0.0619378502973714	0.0116943863267146	0.130171251919433	0.0264539217768989	0.00968122741538582	0.0585948104255464	0.0136699528553334
GCF_001899935.1	0	0	0.0773791469835417	0.0487545241756962	0.0203013640625604	0.240484411676265	0.118301398877644	0.0806285625744326	0.00744260782355851	0	0	0.0574327959883025	0.0963809698102048	0.0430744930448793	0.095778912230743	0	0.168866226273168	0.038399654605857	0.176849058565846	0
GCF_002749455.1	0	0.0103360030253975	0.0979390776928896	0.0611130934992515	0.00320224300553673	0.13884957061899	0	0.0217911882552445	0.020658295251342	0	0	0.00760055181392884	0	0.0655119736696192	0.010594156466707	0	0.133134905649622	0.0920120880166637	0.043360245598695	0.0466203824964379
GCF_003075775.1	0	0.00887367907163906	0	0.00849734070989568	0.0254514715465877	0	0.317796175686849	0.146083327783594	0	0.274419344130856	0.0984740398283396	0.0543418350422073	0.095814799092361	0.0625847155563018	0.0116657103826218	0.107425583964374	0.0227074332273079	0	0	0
GCF_003956975.1	0.0140215858890576	0.132851490124547	0	0.108692532974495	0.161494913016792	0	0	0.187688841799557	0.00326542522199176	0	0.0582151666064895	0.0135744327674614	0.0761336084886547	0.0906271791898117	0.0144313664852989	0	0.0229934493832247	0	0.145419572493567	0.0484575485284718
GCF_003979615.1	0	0.144481699779384	0.0109493700325065	0.0770379754569276	0.229214878418449	0	0.0410271072807372	0.0176462898350571	0.0278538518891542	0.0979827618913352	0	0	0.0354423119164165	0	0.00873275670094126	0.0849555698592528	0.0284102026760613	0.00649135178373426	0.0171911503981193	0.152778209051399
GCF_004920265.1	0	0.0235932899712649	0	0.0537302245410753	0.062435424062375	0.0272107924647976	0	0.0331081774733796	0.084288157065665	0.253805201090729	0.0106737410200697	0	0.0460434225405399	0.00944269371100861	0.0127422430339364	0.0320325081202958	0.0603890846412045	0.076527299913151	0	0.0293866373834691
GCF_005861575.1	0.0883016640776294	0.0612240655710139	0	0.0299747761712587	0.0150906781957508	0.0566309462395355	0.0774556368606319	0	0.15107554078913	0.00813786210394108	0.235618327573761	0.0790383360625382	0.00830658137581895	0.0920150392139464	0.0255950264200972	0	0.00930413718708918	0.148682347299047	0	0.0506808490975907
GCF_008123625.1	0	0.0564860720395452	0.117776348571768	0.175533248965044	0.0153962590538475	0	0	0.0239677820715934	0.0127926485438781	0	0	0.114103558244934	0	0.11619681784021	0.0261886383111822	0.0159400886119564	0.0151877583030956	0.00166533528586497	0	0.0742465054710799
GCF_008762635.1	0.0313469337595201	0.0200040791170372	0	0.0230090540816637	0.074209532858275	0	0.0852945656533686	0	0.0121112175423333	0.00961330424796619	0.256573370949025	0	0.152811737549232	0	0	0.0132964071841227	0.00749855514196924	0.00732177607960414	0.026438855316343	0.0164154313168772
GCF_009912675.1	0	0.0115529719515636	0.0773832048554625	0.0313068557205325	0.0324770440561207	0	0	0.0390524589906438	0.0154661685452052	0.00623397328768075	0	0.0192515392560299	0	0.0117972974108275	0.00479334586339328	0.0393960839353996	0.0224297274965888	0.181522863687034	0	0.053648922164048
GCF_013317125.1	0	0.021270939915425	0.016226853520563	0.0128720587061397	0.028202986421625	0	0	0.0605538043613398	0.00870990423128045	0.0786636513557869	0.0370236803623648	0.117599099027919	0.028919906084634	0.0132609845894986	0.0227292764640286	0	0.0411831978419722	0.040970120399728	0.00165492485326333	0
GCF_900038495.1	0	0.0363476133572532	0.0452980288222102	0.0227910582600738	0.0134328802632631	0	0.0193793159935523	0.041672525246015	0.119538490331452	0.0487687074802468	0	0	0.0774496066235293	0.0154182122945473	0.014742582491015	0.243187226659801	0.00466372496811549	0.103962968269952	0	0.225436184949457
GCF_900125535.1	0.0166532705112813	0.0302691680507451	0	0.0398631503175662	0.112372044806856	0.0572172625316406	0	0	0.00637937667027261	0	0.0400617114840903	0.0311805731284493	0.0167630496424319	0.0727664881122621	0.0102675949032299	0.0875464066105355	0.020122722107881	0.0235535650510839	0.0631499488197044	0.0354983771186268
GCF_900155805.1	0.305438430552707	0.0170449478707429	0.249767808824669	0.0300529195058825	0.0393937228403411	0.0436872070948128	0.110052144987313	0.0907488047796387	0.0554574762628104	0.017411010232055	0	0.0127858013712879	0	0.0407167857755724	0.0671336929034865	0	0.0404713763448193	0.00713269039566896	0	0.0159386348351937
